CODE,en_US,zh_Hans,zh_TW,es_ES,hu_HU,de_DE,fr_FR,nl_NL,pt_BR,ja_JP,pt_PT,it_IT,ru_RU,pl_PL,sv_SE,ko_KR
_L_APP_CHAMELEON_CARD_GENERATE_UID,Rand. UID,随机UID,隨機UID,UID Aleatorio,Véletlen UID,Zufällige UID,UID Aléatoire,Willekeurige UID,UID Aleatório,ランダムUID,UID aleatório,UID casuale,Случ. UID,Losowe UID,Slumpmässigt UID,랜덤 UID
_L_APP_CHAMELEON_CARD_GENERATE_UID_SUCCESS,UID Generated,UID生成成功,UID生成成功,UID Generado,UID generálva,UID generiert,UID Généré,UID Gegenereerd,UID Gerado,UID生成成功,UID gerado,UID generato,UID сгенерирован,Wygenerowano UID,UID genererat,UID 생성됨
_L_APP_CHAMELEON_CARD_GEN2_MODE,Gen2 Enabled,Gen2后门开启,Gen2後門開啓,Gen2 Habilitado,Gen2 engedélyezve,Gen2 aktiviert,Gen2 Activé,Gen2 Ingeschakeld,Gen2 Habilitado,Gen2 有効,Gen2 ativado,Gen2 abilitato,Gen2 вкл.,Gen2 włączone,Gen2 aktiverat,Gen2 활성
_L_APP_CHAMELEON_CARD_WRITE_MODE,Write Mode,写入模式,寫入模式,Modo Escritura,Írási mód,Schreibmodus,Mode Écriture,Schrijfmodus,Modo de Escrita,書き込みモード,Modo de escrita,Modalità scrittura,Режим записи,Tryb zapisu,Skrivläge,쓰기 모드
_L_APP_CHAMELEON_CARD_ADV_ID_EDIT_INVALID_INPUT,Invalid Input!,无效的输入!,無效的輸入!,¡Entrada inválida!,Érvénytelen bemenet!,Ungültige Eingabe!,Entrée Invalide!,Ongeldige Invoer!,Entrada Inválida!,無効な入力,Entrada inválida,Input non valido!,Недопустимый ввод,Nieprawidłowe dane!,Ogiltig inmatning!,잘못된 입력!
_L_APP_CHAMELEON_CARD_TYPE_FACTORY_DATA_CONFRIM,Card type changed. \nFactory card data?,卡类型已修改\n重置卡数据?,卡類型已修改\n重置卡數據?,Tipo tarjeta modificado\n¿Inicializar tarjeta?,A kártya típusa megváltozott.\nGyári kártyaadatok?,Kartentyp geändert. \nKartendaten zurücksetzen?,Le Type de Carte a Été Modifié. \nRéinitialiser les Données de la Carte?,Kaarttype gewijzigd. \nGegevens terugzetten naar standaard?,O tipo de cartão foi alterado. \nRedefinir dados do cartão?,カードの種類が変更されました。\nカードデータを初期化しますか？,Tipo de cartão alterado. \nFormatar cartão?,Tipo di carta modificato\nInizializzare carta?,Тип карты изменён.\nСбросить данные карты?,Zmieniono typ karty.\nUstawić domyślne dane?,Korttypen har ändrats. \nfabriksåterställ kortdata?,카드 유형 변경됨. \n데이터를 초기화할까요?
_L_APP_CHAMELEON_CARD_DEFAULT_CARD,Default Card,默认卡片,默认卡片,Tarjeta Predeterminada,Alapértelmezett kártya,Standardkarte,Carte par Défaut,Standaardkaart,Cartão Padrão,デフォルトカード,Cartão predefinido,Carta predefinita,По умолчанию,Domyślna Karta,Standardkort,기본 카드
_L_APP_GAME,Game,游戏,游戏,Juegos,Játék,Spiel,Jeu,Spel,Jogo,ゲーム,Jogo,Gioco,Игры,Gry,Spel,게임
_L_APP_GAME_TINY_ARKANOID,Arkanoid,打砖块,打磚塊,Arkanoid,Arkanoid,Arkanoid,Arkanoid,Arkanoid,Arkanoid,アルカノイド,Arkanoid,Arkanoid,Арканоид,Arkanoid,Arkanoid,알카노이드
_L_APP_GAME_TINY_INVADERS,Invaders,入侵者,入侵者,Invasores,Invaders,Invaders,Invaders,Invaders,Invasores,インベーダー,Invasores,Invaders,Космические захватчики,Invaders,Invaders,인베이더
_L_APP_GAME_TINY_LANDER,Lander,星球着陆,星球著陸,Lander,Lander,Lander,Lander,Lander,Lander,ランダー,Lander,Lander,Посадка на Луну,Lander,Lander,랜더
_L_APP_GAME_TINY_TRIS,Tris,俄罗斯方块,俄羅斯方塊,Tris,Tris,Tris,Tris,Tris,Tris,テトリス,Tris,Tris,Тетрис,Tris,Tris,트리스
